x maxA minA maxB minB
-1.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
-9.333333333333333481e-01 3.558630133464757428e-02 -4.092300594136052093e-03 9.111336708245000235e-03 -4.102166090989858155e-02
-8.666666666666666963e-01 8.914195094512375461e-02 -7.108959509991182729e-03 1.579048609966480360e-02 -1.023206235671237779e-01
-8.000000000000000444e-01 1.552872925409455596e-01 -1.742673712105057698e-02 1.889540052559971275e-02 -1.786177657841375999e-01
-7.333333333333333925e-01 2.265327777763500583e-01 -4.906456650688183208e-02 3.167303335013726268e-02 -2.617825565041452252e-01
-6.666666666666667407e-01 2.941569939282170920e-01 -9.930256761805077159e-02 6.461238637023380971e-02 -3.417459877878800678e-01
-6.000000000000000888e-01 3.493026675285236804e-01 -1.651495318057453199e-01 1.095187705339139561e-01 -4.077775578628435871e-01
-5.333333333333334370e-01 3.841494618548026985e-01 -2.423464299027290603e-01 1.635903970168684773e-01 -4.499565657587052958e-01
-4.666666666666667851e-01 3.930036430275949400e-01 -3.242916198260131777e-01 2.239493072894589154e-01 -4.606255034673053528e-01
-4.000000000000001332e-01 3.731479849091868806e-01 -4.027213484904149654e-01 2.843047489734917277e-01 -4.356024775079784250e-01
-3.333333333333334814e-01 3.253214373967469597e-01 -4.686765933306543674e-01 3.373598736528296560e-01 -3.779382723364132501e-01
-2.666666666666668295e-01 2.537445697966607128e-01 -5.136356918802954530e-01 3.757694677582006926e-01 -2.944596420306943019e-01
-2.000000000000001776e-01 1.713274718145832154e-01 -5.306624389235661265e-01 3.930036430275949400e-01 -1.917972330720252583e-01
-1.333333333333335258e-01 8.811603702739283228e-02 -5.154098818452186315e-01 3.843535231492057336e-01 -9.690934991027505552e-02
-6.666666666666687391e-02 2.491887802231414553e-02 -4.668331973441974259e-01 3.477542033142720923e-01 -2.609984352341652644e-02
-2.220446049250313081e-16 2.961563344985890486e-31 -3.874998363728327511e-01 4.131676710976672218e-01 0.000000000000000000e+00
6.666666666666642982e-02 2.710561559250478786e-02 -3.625294858951046972e-01 5.136194080843088372e-01 -2.594428701950638946e-02
1.333333333333330817e-01 1.042597161411312895e-01 -4.223842530361452408e-01 5.844015754145380770e-01 -9.575762223049255617e-02
1.999999999999997335e-01 2.132214033815925114e-01 -4.558534818859815152e-01 6.193127006439180793e-01 -1.940608043946343841e-01
2.666666666666663854e-01 3.416273295651098829e-01 -4.606255034673053528e-01 6.162173056295093820e-01 -3.007492848991422663e-01
3.333333333333330373e-01 4.581756543072584287e-01 -4.375862308887705221e-01 5.772887264834337673e-01 -4.013904271790839640e-01
3.999999999999996891e-01 5.497483112160072016e-01 -3.907005400533414829e-01 5.086506900659149011e-01 -4.786697341947089845e-01
4.666666666666663410e-01 6.056794746248572725e-01 -3.264714724334867868e-01 4.194690696943920716e-01 -5.234871685974579192e-01
5.333333333333329929e-01 6.193127006439180793e-01 -2.542177866681902265e-01 3.206299830722478816e-01 -5.306624389235661265e-01
5.999999999999996447e-01 5.890811644119358093e-01 -1.812216710577769230e-01 2.232041160785907530e-01 -4.997844438031325831e-01
6.666666666666662966e-01 5.189384975491737606e-01 -1.139873714527921689e-01 1.369294092390038187e-01 -4.353883265795989721e-01
7.333333333333329485e-01 4.180528984502189793e-01 -5.920890979726034509e-02 6.893974687122221556e-02 -3.464172263930922480e-01
7.999999999999996003e-01 2.997778796632035170e-01 -2.435984374135008457e-02 2.498595633694210630e-02 -2.450356269328835823e-01
8.666666666666662522e-01 1.801343674002804374e-01 -2.121809159817598239e-02 1.460983718114389901e-02 -1.449620736600044368e-01
9.333333333333329040e-01 7.622518526900932956e-02 -1.277707026156986794e-02 8.765955995675854887e-03 -5.956458368537138198e-02
9.999999999999995559e-01 3.916719345399150790e-16 -9.557774101265790135e-17 6.540827528229174435e-17 -2.992920712105210613e-16
